f,psd
0.00282,3.516906314615043e-43
0.00284,2.710174125984314e-43
0.00286,3.352521261047305e-43
0.00288,3.8751162578430254e-43
0.0029000000000000002,4.438063681626543e-43
0.0029200000000000003,4.5185469497191955e-43
0.0029400000000000003,5.105877394978124e-43
0.0029600000000000004,5.4839145130435855e-43
0.0029800000000000004,5.395581513156533e-43
0.003,4.306761156302056e-43
0.00302,5.49366164102516e-43
0.00304,5.205444532221987e-43
0.0030600000000000002,5.115388612387909e-43
0.0030800000000000003,4.349651749487625e-43
0.0031000000000000003,5.42292997032813e-43
0.0031200000000000004,7.327233825454416e-43
0.0031400000000000004,5.876222159061017e-43
0.00316,6.481625787198745e-43
0.00318,8.346620202203336e-43
0.0032,8.465507945870723e-43
0.00322,6.8580387192241466e-43
0.0032400000000000003,6.606913051524587e-43
0.0032600000000000003,8.355934329252316e-43
0.0032800000000000004,7.956449762448332e-43
0.0033000000000000004,8.92352289855765e-43
0.0033200000000000005,1.1069832092418368e-42
0.00334,9.122591334973393e-43
0.00336,1.0228997920726683e-42
0.00338,1.1329167916587047e-42
0.0034000000000000002,9.933783317099029e-43
0.0034200000000000003,7.929341458166017e-43
0.0034400000000000003,9.330200525544664e-43
0.0034600000000000004,1.1157956124997479e-42
0.0034800000000000005,1.1644048858416597e-42
0.0035,1.0664075195326122e-42
0.00352,1.2561434768460063e-42
0.00354,1.333311899915131e-42
0.0035600000000000002,1.648748964676598e-42
0.0035800000000000003,1.656166428889936e-42
0.0036000000000000003,1.6390956585109674e-42
0.0036200000000000004,1.5227336531783836e-42
0.0036400000000000004,1.484705226920282e-42
0.0036600000000000005,1.1932085420856895e-42
0.00368,1.3458156566146032e-42
0.0037,1.5142845466720535e-42
0.00372,1.3260171077779522e-42
0.0037400000000000003,1.3685731164389613e-42
0.0037600000000000003,1.2979145093938823e-42
0.0037800000000000004,1.465113641147205e-42
0.0038000000000000004,1.943678571398005e-42
0.0038200000000000005,2.4432500697630516e-42
0.0038400000000000005,2.3848784308319523e-42
0.00386,2.0468366285731684e-42
0.00388,1.6884177656500976e-42
0.0039000000000000003,1.7148248823914635e-42
0.003920000000000001,2.0587778429233306e-42
0.00394,2.163171395455341e-42
0.00396,2.16779525888213e-42
0.00398,2.010514997020287e-42
0.004,2.0512824285286217e-42
0.00402,2.5945587481977837e-42
0.00404,2.6271924556702998e-42
0.00406,2.8151716512086066e-42
0.00408,2.843636884919472e-42
0.0041,3.262415037801338e-42
0.00412,3.597885932755241e-42
0.0041400000000000005,3.3318370523369526e-42
0.0041600000000000005,3.2164363272307e-42
0.0041800000000000006,2.9983140232989634e-42
0.004200000000000001,2.462076849476774e-42
0.004220000000000001,2.242325974943021e-42
0.004240000000000001,2.9985626159197494e-42
0.004260000000000001,4.077212900433127e-42
0.00428,3.006154679927323e-42
0.0043,3.134257248732977e-42
0.00432,3.525511422871744e-42
0.00434,3.1488622974763055e-42
0.00436,3.371618828892053e-42
0.00438,3.297945218539717e-42
0.0044,3.599771502800833e-42
0.00442,3.6255450201116454e-42
0.00444,3.752595836539175e-42
0.00446,4.481693703145812e-42
0.0044800000000000005,4.764866413172444e-42
0.0045000000000000005,4.803938051217355e-42
0.004520000000000001,5.754711009686122e-42
0.004540000000000001,5.717992646744221e-42
0.004560000000000001,5.7170820785247e-42
0.004580000000000001,5.070787321835607e-42
0.004600000000000001,5.781852777283939e-42
0.00462,6.260422359252043e-42
0.00464,5.382569436125464e-42
0.00466,5.055096658988548e-42
0.00468,6.240350550082444e-42
0.0047,7.148493652237166e-42
0.00472,5.7356359669718655e-42
0.00474,5.926758341079624e-42
0.00476,5.936070119868396e-42
0.00478,6.481951230043386e-42
0.0048000000000000004,7.840838201880564e-42
0.0048200000000000005,5.771093129647695e-42
0.0048400000000000006,6.097227489186247e-42
0.004860000000000001,7.693595619360569e-42
0.004880000000000001,7.667006609623184e-42
0.004900000000000001,9.470881905354178e-42
0.004920000000000001,1.0241006118963913e-41
0.004940000000000001,8.308385393276219e-42
0.00496,6.45718512256188e-42
0.00498,6.637359920714006e-42
0.005,7.765272674902104e-42
0.00502,7.920669587692579e-42
0.00504,8.656281727768654e-42
0.00506,8.329586053367283e-42
0.00508,8.227457630822359e-42
0.0051,1.0413422569684052e-41
0.00512,8.787858902989836e-42
0.0051400000000000005,5.924330238285084e-42
0.0051600000000000005,8.543777108465798e-42
0.005180000000000001,1.2590964988341216e-41
0.005200000000000001,1.2163507879903464e-41
0.005220000000000001,1.2249273437680255e-41
0.005240000000000001,1.7214509682451004e-41
0.005260000000000001,1.5928706908455448e-41
0.005280000000000001,1.3834058651379134e-41
0.0053,1.5246230317483095e-41
0.00532,1.0603659376625152e-41
0.00534,1.1142959430988821e-41
0.00536,1.0901885079639086e-41
0.00538,1.2671666661766243e-41
0.0054,1.460613410091017e-41
0.00542,1.4268263336071362e-41
0.00544,1.4540443301837706e-41
0.0054600000000000004,1.6162076184163467e-41
0.0054800000000000005,1.419116203546129e-41
0.0055000000000000005,1.0461463242451744e-41
0.005520000000000001,1.1270752452821876e-41
0.005540000000000001,1.4447749055837306e-41
0.005560000000000001,1.172582445333386e-41
0.005580000000000001,1.3641559029183912e-41
0.005600000000000001,1.4897667212069629e-41
0.005620000000000001,1.3836211400036414e-41
0.00564,1.807915298583464e-41
0.00566,2.1930705208334704e-41
0.00568,2.1442342416705093e-41
0.0057,2.3614662353920414e-41
0.00572,2.0870720286304972e-41
0.00574,1.5023030060409198e-41
0.00576,1.3366471490122478e-41
0.00578,1.7401506451125243e-41
0.0058000000000000005,1.850723877120171e-41
0.0058200000000000005,1.7683683530583317e-41
0.005840000000000001,1.9910616884340837e-41
0.005860000000000001,1.673457628634872e-41
0.005880000000000001,2.0362608535107974e-41
0.005900000000000001,2.1428699563322928e-41
0.005920000000000001,2.1022469937813417e-41
0.005940000000000001,1.9197456908774375e-41
0.005960000000000001,1.4569458272554808e-41
0.00598,1.5761166993097869e-41
0.006,2.0300476634436361e-41
0.00602,2.042718558114319e-41
0.00604,1.9337477609315115e-41
0.00606,2.0581266386202996e-41
0.00608,1.607212614124421e-41
0.0061,2.1727525525695264e-41
0.0061200000000000004,2.692686971584861e-41
0.0061400000000000005,2.0247326128834716e-41
0.0061600000000000005,2.134543662244744e-41
0.006180000000000001,2.6836401825178045e-41
0.006200000000000001,2.5340898722219796e-41
0.006220000000000001,2.72776344416272e-41
0.006240000000000001,3.460412490188926e-41
0.006260000000000001,3.056570863017511e-41
0.006280000000000001,3.586282972323943e-41
0.006300000000000001,3.5628747857438225e-41
0.00632,3.4816729281817954e-41
0.00634,3.005503261385601e-41
0.00636,2.394508939405085e-41
0.00638,2.9610261081785733e-41
0.0064,2.8908068948263666e-41
0.00642,2.820267928527086e-41
0.00644,2.9950846575074977e-41
0.0064600000000000005,2.9188422527353576e-41
0.0064800000000000005,2.909629762669223e-41
0.006500000000000001,3.0510980780480255e-41
0.006520000000000001,3.697388635260404e-41
0.006540000000000001,2.8411843784377364e-41
0.006560000000000001,3.602601996441677e-41
0.006580000000000001,4.365645184290717e-41
0.006600000000000001,3.6931786704338527e-41
0.006620000000000001,3.299473695728373e-41
0.006640000000000001,3.2282272987267806e-41
0.00666,3.48448483341043e-41
0.00668,3.5373461759772804e-41
0.0067,4.103268757668918e-41
0.00672,4.002777669157708e-41
0.00674,4.586895281563828e-41
0.00676,4.316491125646484e-41
0.0067800000000000004,3.6862200635051263e-41
0.0068000000000000005,4.0214634261287084e-41
0.0068200000000000005,3.483839611573402e-41
0.006840000000000001,4.421569468705234e-41
0.006860000000000001,5.07052477742748e-41
0.006880000000000001,4.905969780801128e-41
0.006900000000000001,4.687029453680604e-41
0.006920000000000001,4.836041394153729e-41
0.006940000000000001,4.4355558874120453e-41
0.006960000000000001,5.225865188284581e-41
0.006980000000000001,4.4341757510377127e-41
0.007,5.157350105217584e-41
0.00702,4.5901695487107945e-41
0.00704,4.685232955393493e-41
0.00706,6.862906335436007e-41
0.00708,6.584775243209648e-41
0.0071,4.722622348941994e-41
0.0071200000000000005,3.8022670009466777e-41
0.0071400000000000005,3.59519580608656e-41
0.0071600000000000006,4.1599427618261425e-41
0.007180000000000001,5.702410750907572e-41
0.007200000000000001,5.478895405068579e-41
0.007220000000000001,4.6185593961282e-41
0.007240000000000001,5.309029254507346e-41
0.007260000000000001,6.403488435691435e-41
0.007280000000000001,5.186768551051906e-41
0.007300000000000001,6.238216854769526e-41
0.007320000000000001,7.317912036551337e-41
0.00734,6.307090305618988e-41
0.00736,5.894236151987897e-41
0.00738,7.550048231571523e-41
0.0074,7.444991871701529e-41
0.00742,8.317717538026417e-41
0.00744,6.450356794238047e-41
0.0074600000000000005,6.633052011351525e-41
0.0074800000000000005,6.498675400750923e-41
0.007500000000000001,6.834583339888747e-41
0.007520000000000001,9.009537551588705e-41
0.007540000000000001,7.262021866412427e-41
0.007560000000000001,7.538593250705503e-41
0.007580000000000001,7.838509053478202e-41
0.007600000000000001,7.194931936940996e-41
0.007620000000000001,7.196624803727657e-41
0.007640000000000001,6.221373720578879e-41
0.007660000000000001,6.285360371229119e-41
0.007680000000000001,7.835987775805441e-41
0.0077,7.448268622752665e-41
0.00772,7.357920836497038e-41
0.00774,8.698791866124724e-41
0.00776,9.069398476432473e-41
0.0077800000000000005,6.750109372723421e-41
0.0078000000000000005,8.05508920387801e-41
0.00782,8.742461577203166e-41
0.007840000000000001,9.449746161701447e-41
0.00786,7.777488622986339e-41
